Waterbody,Habitat,Fish.species,Sample.code,Date,Taxon,Stage,Insect,Origin,Higher.classification,Order,Family,Common.name,Length,Abundance,Biomass
Montana Creek,Mainstem,Coho,#5, 2021-05-05,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,5,1,0.121472231
Montana Creek,Mainstem/Side Channel,Coho,#16, 2021-05-11,Chironomidae,A,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,2,3,0.266553243
Montana Creek,Mainstem/Side Channel,Coho,#16, 2021-05-11,Rhyacophila,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Rhyacophilidae,caddisflies,4,1,0.308137087
Montana Creek,Mainstem/Side Channel,Coho,#16, 2021-05-11,Baetidae,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,3,1,0.124738201
Montana Creek,Mainstem/Side Channel,Coho,#5, 2021-05-11,Tipuloidea,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Tipulidae,crane flies,5,1,0.216938473
Montana Creek,Mainstem/Side Channel,Coho,#5, 2021-05-11,Heptageniidae,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Heptageniidae,mayflies,3,1,0.222543898
Montana Creek,Mainstem/Side Channel,Coho,#5, 2021-05-11,Simuliidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Simuliidae,black flies,3,1,0.054656535
Montana Creek,Mainstem/Side Channel,Coho,#5, 2021-05-11,Plecoptera,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,x,stoneflies,2,2,0.126821959
Montana Creek,Mainstem/Side Channel,Coho,#5, 2021-05-11,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,2,1,0.011042515
Montana Creek,Mainstem/Side Channel,Coho,#9, 2021-05-11,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,1,1,0.0018
Montana Creek,Mainstem/Side Channel,Coho,#9, 2021-05-11,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,2,2,0.02208503
Montana Creek,Mainstem/Side Channel,Coho,#9, 2021-05-11,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,3,4,0.127631778
Montana Creek,Mainstem/Side Channel,Coho,#9, 2021-05-11,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,4,1,0.067742856
Montana Creek,Mainstem/Side Channel,Coho,#9, 2021-05-11,Heptageniidae,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Heptageniidae,mayflies,2,2,0.145710336
Montana Creek,Mainstem/Side Channel,Coho,#9, 2021-05-11,Heptageniidae,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Heptageniidae,mayflies,3,2,0.445087796
Montana Creek,Mainstem/Side Channel,Coho,#9, 2021-05-11,Chironomidae,A,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,3,2,0.413179363
Montana Creek,Mainstem/Side Channel,Coho,#9, 2021-05-11,Leuctridae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Leuctridae,stoneflies,4,2,0.242766716
Montana Creek,Mainstem/Side Channel,Coho,#9, 2021-05-11,Trombidiformes,U,non-insect,Aquatic,Arachnida: Acari,Trombidiformes,x,mites,1,1,0.053
Montana Creek,Mainstem/Side Channel,Coho,#9, 2021-05-11,Nemata,U,non-insect,Aquatic,Nemata,miscellaneous non-insect,x,round worms,4,1,0.21144314
