Waterbody,Species,Date,Sample.code,Taxon,Stage,Insect,Origin,Higher.classification,Order,Family,Common.name,Length,Abundance,Biomass
Montana Creek,Dolly Varden, 2021-05-05,8,Crassiclitellata,U,non-insect,Terrestrial,Annelida: Oligochaeta,miscellaneous non-insect,Lumbriculidae,segmented worms,13,1,0.505809855
Montana Creek,Dolly Varden, 2021-05-05,8,Crassiclitellata,U,non-insect,Terrestrial,Annelida: Oligochaeta,miscellaneous non-insect,Lumbriculidae,segmented worms,25,1,0.82062513
Montana Creek,Dolly Varden, 2021-05-05,8,Hydropsychidae,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Hydropsychidae,caddisflies,14,1,10.38313412
Montana Creek,Dolly Varden, 2021-05-05,6,Simuliidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Simuliidae,black flies,5,1,0.254465365
Montana Creek,Dolly Varden, 2021-05-05,6,Simuliidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Simuliidae,black flies,6,1,0.440598902
Montana Creek,Dolly Varden, 2021-05-05,6,Copepoda,U,non-insect,Aquatic,Crustacea: Copepoda,x,x,copepods,0,0,0
Montana Creek,Dolly Varden, 2021-05-11,2,Simuliidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Simuliidae,black flies,6,1,0.440598902
Montana Creek,Dolly Varden, 2021-05-11,2,Baetidae,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,3,1,0.124738201
Montana Creek,Dolly Varden, 2021-05-11,2,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,4,1,0.067742856
Montana Creek,Dolly Varden, 2021-05-11,2,Rhyacophila,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Rhyacophilidae,caddisflies,12,1,4.698991774
Montana Creek,Dolly Varden, 2021-05-11,2,Heptageniidae,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Heptageniidae,mayflies,3,1,0.222543898
Montana Creek,Dolly Varden, 2021-05-11,4,Ameletus,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ameletidae,mayflies,3,1,0.13221494
Montana Creek,Dolly Varden, 2021-05-11,4,Chloroperlidae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Chloroperlidae,stoneflies,3.5,1,0.197221705
Montana Creek,Dolly Varden, 2021-05-11,4,Tipuloidea,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Tipulidae,crane flies,19,1,7.775644598
Montana Creek,Dolly Varden, 2021-05-11,6,Chloroperlidae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Chloroperlidae,stoneflies,6,1,0.856243648
Montana Creek,Dolly Varden, 2021-05-11,6,Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,2.5,1,0.019800744
Montana Creek,Dolly Varden, 2021-05-11,7,Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,2.5,1,0.019800744
Montana Creek,Dolly Varden, 2021-05-11,7,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,4,1,0.067742856
Montana Creek,Dolly Varden, 2021-05-11,27,Chloroperlidae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Chloroperlidae,stoneflies,7,2,2.606096022
Montana Creek,Dolly Varden, 2021-05-11,27,Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,3,2,0.063815889
Montana Creek,Dolly Varden, 2021-05-11,28,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,4,1,0.067742856
Montana Creek,Dolly Varden, 2021-05-11,29,Rhyacophila,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Rhyacophilidae,caddisflies,8,1,1.719089004
Montana Creek,Dolly Varden, 2021-05-11,33,Copepoda,U,non-insect,Aquatic,Crustacea: Copepoda,x,x,copepods,0,0,0
Montana Creek,Dolly Varden, 2021-05-11,34,Rhyacophila,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Rhyacophilidae,caddisflies,10,1,2.989752203
Montana Creek,Dolly Varden, 2021-05-11,34,Lepidoptera,L,insect,Terrestrial,Arthropoda: Insecta,Lepidoptera,x,moths,8,1,2.022030231
Montana Creek,Dolly Varden, 2021-05-14,14,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,6,1,0.195746645
Montana Creek,Dolly Varden, 2021-05-14,14,Chloroperlidae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Chloroperlidae,stoneflies,6,1,0.856243648
Montana Creek,Dolly Varden, 2021-05-14,14,Empididae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Empididae,dance flies,5,1,0.325065883
Montana Creek,Dolly Varden, 2021-05-14,14,Hydropsychidae,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Hydropsychidae,caddisflies,15,1,12.70576609
Montana Creek,Dolly Varden, 2021-05-14,17,Copepoda,U,non-insect,Aquatic,Crustacea: Copepoda,x,x,copepods,0,0,0
Montana Creek,Dolly Varden, 2021-05-14,10,Crassiclitellata,U,non-insect,Terrestrial,Annelida: Oligochaeta,miscellaneous non-insect,Lumbriculidae,segmented worms,60,1,1.568559982
Montana Creek,Dolly Varden, 2021-05-14,10,Limnephilidae,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Limnephilidae,caddisflies,10,1,3.428151381
