Fish_ID_comp,Date,Fish_ID_day,Trap,Habitat,PIT_tag,Species,FL,TL,Weight,Diet,Fin Clip,Pink_Salmon_pres_abs
1,5/5/2021,1,,Main_Side,93DDEE5,Cutthroat,NA,125,16.9,N,N,0
2,5/5/2021,2,,Main_Side,NA,Coho,NA,57,1.8,N,N,0
3,5/5/2021,3,,Main_Side,93DDF90,Cutthroat,NA,99,5.7,N,N,0
4,5/5/2021,4,,Main_Side,93DDF73,Cutthroat,NA,112,11.9,N,N,0
5,5/5/2021,5,,Main_Side,93DDF84,Coho,NA,89,6.8,Y,N,0
6,5/5/2021,6,,Main_Side,93DDF46,Dolly Varden,NA,90,5.8,Y,N,0
7,5/5/2021,7,,Main_Side,NA,Cutthroat,NA,100,9.6,N,N,0
8,5/5/2021,8,,Main_Side,NA,Dolly Varden,NA,96,6.1,Y,N,0
9,5/11/2021,1,,Main_Side,NA,Coho,56,60,1.6,Y,N,0
10,5/11/2021,2,,Main_Side,93DDF41,Dolly Varden,117,121,12.4,Y,N,0
11,5/11/2021,3,,Main_Side,NA,Coho,60,65,2.7,Y,N,0
12,5/11/2021,4,,Main_Side,93DDF3E,Dolly Varden,84,89,5.7,Y,N,0
13,5/11/2021,5,,Main_Side,NA,Coho,61,65,2.3,Y,N,0
14,5/11/2021,6,,Main_Side,93DDEFA,Dolly Varden,116,123,14.7,Y,N,0
15,5/11/2021,7,,Main_Side,NA,Dolly Varden,103,109,9.4,Y,N,0
16,5/11/2021,8,,Main_Side,NA,Dolly Varden,99,103,7.8,Y,N,0
17,5/11/2021,9,,Main_Side,NA,Coho,57,60,1.6,Y,N,0
18,5/11/2021,10,,Main_Side,93DDF58,Cutthroat,109,115,10.7,Y,N,0
19,5/11/2021,11,,Main_Side,NA,Coho,56,61,1.9,Y,N,0
20,5/11/2021,12,,Main_Side,NA,Coho,55,59,1.6,Y,N,0
21,5/11/2021,13,,Main_Side,NA,Coho,65,71,2.9,Y,N,0
22,5/11/2021,14,,Main_Side,93DDF76,Coho,95,104,7.9,Y,N,0
23,5/11/2021,15,,Main_Side,NA,Coho,64,68,2.6,Y,N,0
24,5/11/2021,16,,Main_Side,NA,Coho,53,56,1.3,Y,N,0
25,5/11/2021,17,,Main_Side,NA,Coho,52,57,1.6,Y,N,0
26,5/11/2021,18,,Main_Side,NA,Coho,62,67,2.5,Y,N,0
27,5/11/2021,19,,Main_Side,NA,Coho,62,67,2.3,N,N,0
28,5/11/2021,20,,Main_Side,NA,Coho,50,55,1.3,N,N,0
29,5/11/2021,21,,Main_Side,93DDF36,Coho,87,93,5.7,N,N,0
30,5/11/2021,22,,Main_Side,NA,Dolly Varden,97,101,7.7,N,N,0
31,5/11/2021,23,,Main_Side,NA,Dolly Varden,94,98,6.9,N,N,0
32,5/11/2021,24,,Main_Side,93DDF42,Coho,91,99,7,N,N,0
33,5/11/2021,25,,Main_Side,NA,Dolly Varden,97,103,7.4,N,N,0
34,5/11/2021,26,,Main_Side,93DDF2D,Coho,96,105,8.8,N,N,0
35,5/11/2021,27,,Main_Side,NA,Dolly Varden,76,81,3.4,Y,N,0
36,5/11/2021,28,,Main,NA,Dolly Varden,81,85,4.6,Y,N,0
37,5/11/2021,29,,Main,93DDF35,Dolly Varden,124,132,14.6,Y,N,0
38,5/11/2021,30,,Main,NA,Sculpin,NA,118,14.8,N,N,0
39,5/11/2021,31,,Main,NA,Sculpin,NA,102,9.6,N,N,0
40,5/11/2021,32,,Main,NA,Cutthroat,95,99,6.8,N,N,0
41,5/11/2021,33,,Main,93DDF21,Dolly Varden,125,129,13.8,Y,N,0
42,5/11/2021,34,,Main,93DDF3B,Dolly Varden,121,130,15.1,Y,N,0
43,5/11/2021,35,,Main,93DDF14,Cutthroat,95,100,7.5,N,N,0
44,5/11/2021,36,,Main,93DDF12,Cutthroat,102,108,9.2,N,N,0
45,5/11/2021,37,,Main,93DDF3C,Coho,92,99,7.4,N,N,0
46,5/14/2021,1,,Seep,NA,Coho,NA,25,0.2,N,N,0
47,5/14/2021,2,,Seep,NA,Coho,NA,22,0.1,N,N,0
48,5/14/2021,3,,Seep,NA,Dolly Varden,79,85,4.8,N,N,0
49,5/14/2021,4,,Seep,93DDEF0,Coho,99,108,9.5,Y,N,0
50,5/14/2021,5,,Seep,NA,Coho,62,67,2.5,Y,N,0
51,5/14/2021,6,,Seep,NA,Coho,62,67,2.2,Y,N,0
52,5/14/2021,7,,Seep,NA,Coho,62,66,2.3,Y,N,0
53,5/14/2021,8,,Seep,NA,Coho,61,66,2.3,N,N,0
54,5/14/2021,9,,Seep,NA,Coho,57,62,2,Y,N,0
55,5/14/2021,10,,Seep,NA,Dolly Varden,82,87,5.4,Y,N,0
56,5/14/2021,11,,Main_Side,NA,Sculpin,NA,113,15,N,N,0
57,5/14/2021,12,,Main_Side,NA,Coho,59,64,2.1,Y,N,0
58,5/14/2021,13,,Main_Side,NA,Coho,53,58,1.5,Y,N,0
59,5/14/2021,14,,Main_Side,NA,Dolly Varden,74,77,3.8,Y,N,0
60,5/14/2021,15,,Main_Side,NA,Coho,57,62,1.8,Y,N,0
61,5/14/2021,16,,Main_Side,NA,Coho,54,59,1.8,Y,N,0
62,5/14/2021,17,,Main_Side,NA,Dolly Varden,48,49,2.4,Y,N,0
63,5/14/2021,18,,Main_Side,NA,Coho,47,51,1,Y,N,0
64,5/18/2021,1,,Main_Side,NA,Coho,51,56,1.4,Y,N,0
65,5/18/2021,2,,Main_Side,NA,Coho,58,64,2,Y,N,0
66,5/18/2021,3,,Main_Side,NA,Dolly Varden,120,125,13.5,Y,N,0
67,5/18/2021,4,,Main_Side,NA,Dolly Varden,85,89,5.6,Y,N,0
68,5/18/2021,5,,Main_Side,NA,Coho,66,70,2.7,Y,N,0
69,5/18/2021,6,,Main_Side,NA,Dolly Varden,105,111,10.6,N,N,0
70,5/18/2021,7,,Main_Side,NA,Dolly Varden,117,124,13,N,N,0
71,5/18/2021,8,,Main_Side,NA,Dolly Varden,133,141,19.7,N,N,0
72,5/18/2021,9,,Main_Side,NA,Dolly Varden,108,114,11.7,N,N,0
73,5/18/2021,10,,Main_Side,NA,Dolly Varden,133,141,19.7,N,N,0
74,5/18/2021,11,,Main_Side,NA,Coho,62,67,2.3,Y,N,0
75,5/18/2021,12,,Main_Side,NA,Cutthroat,141,149,23.1,Y,N,0
76,5/18/2021,13,,Main_Side,NA,Dolly Varden,92,98,6.1,N,N,0
77,5/18/2021,14,,Main_Side,NA,Steelhead,165,173,40.9,Y,N,0
78,5/18/2021,15,,Main_Side,NA,Coho,97,107,9.7,Y,N,0
79,5/18/2021,16,,Main_Side,NA,Cutthroat/Steelhead,140,149,22.1,N,N,0
80,5/18/2021,17,,Main_Side,NA,Coho,81,87,5.4,Y,N,0
81,5/18/2021,18,,Main_Side,NA,Cutthroat/Steelhead,100,106,9.2,N,N,0
82,5/18/2021,19,,Main_Side,NA,Dolly Varden,128,136,16.7,Y,N,0
83,5/18/2021,20,,Main_Side,NA,Dolly Varden,147,156,27.8,Y,N,0
84,5/18/2021,21,,Main_Side,NA,Coho,71,77,3.7,Y,N,0
85,5/18/2021,22,,Main_Side,NA,Dolly Varden,121,129,14.9,Y,N,0
86,5/18/2021,23,,Main_Side,NA,Cutthroat/Steelhead,142,147,24.3,N,N,0
87,5/18/2021,24,,Main_Side,NA,Coho,54,59,1.7,Y,N,0
88,5/18/2021,25,,Main_Side,NA,Coho,56,61,2,Y,N,0
89,5/18/2021,26,,Main_Side,NA,Dolly Varden,85,89,4.8,Y,N,0
90,5/18/2021,27,,Main_Side,NA,Coho,63,68,2.7,Y,N,0
91,5/18/2021,28,,Main_Side,NA,Coho,91,99,8.2,Y,N,0
92,5/18/2021,29,,Main_Side,NA,Dolly Varden,85,89,4.8,N,N,0
93,5/18/2021,30,,Main_Side,NA,Dolly Varden,80,85,4.7,N,N,0
94,5/18/2021,31,,Seep,NA,Dolly Varden,93,99,8.8,N,N,0
95,5/18/2021,32,,Seep,NA,Coho,61,66,2.3,Y,N,0
96,5/18/2021,33,,Seep,NA,Dolly Varden,50,53,1.4,N,N,0
97,5/18/2021,34,,Seep,NA,Coho,59,63,2.2,Y,N,0
98,5/18/2021,35,,Seep,NA,Dolly Varden,70,73,3.1,N,N,0
99,5/18/2021,36,,Seep,NA,Dolly Varden,49,51,1,N,N,0
100,5/18/2021,37,,Seep,NA,Coho,48,51,1.5,Y,N,0
101,5/18/2021,38,,Seep,NA,Coho,62,67,2.4,Y,N,0
102,5/18/2021,39,,Seep,NA,Dolly Varden,50,52,1.2,N,N,0
103,5/18/2021,40,,Seep,NA,Dolly Varden,86,91,6.6,N,N,0
104,5/18/2021,41,,Seep,NA,Coho,97,107,9.9,Y,N,0
105,5/21/2021,1,,Main_Side,NA,Coho,55,59,1.8,Y,N,0
106,5/21/2021,2,,Main_Side,NA,Coho,47,49,0.8,Y,N,0
107,5/21/2021,3,,Main_Side,NA,Coho,51,55,1.4,Y,N,0
108,5/21/2021,4,,Main_Side,NA,Coho,47,52,1.3,Y,N,0
109,5/21/2021,5,,Main_Side,NA,Coho,55,59,1.7,Y,N,0
110,5/21/2021,6,,Main_Side,NA,Coho,53,57,1.9,Y,N,0
111,5/21/2021,7,,Main_Side,NA,Dolly Varden,74,77,3.5,Y,N,0
112,5/21/2021,8,,Main_Side,NA,Dolly Varden,54,55,1.6,Y,N,0
113,5/21/2021,9,,Main_Side,NA,Dolly Varden,51,52,1.1,Y,N,0
114,5/21/2021,10,,Main_Side,NA,Sculpin,NA,112,11.7,N,N,0
115,5/21/2021,11,,Main_Side,NA,Coho,73,79,4,Y,N,0
116,5/21/2021,12,,Main_Side,NA,Dolly Varden,143,146,22.1,Y,N,0
117,5/21/2021,13,,Main_Side,NA,Dolly Varden,109,115,9.9,Y,N,0
118,5/21/2021,14,,Main_Side,NA,Coho,60,64,2.1,Y,N,0
119,5/21/2021,15,,Main_Side,NA,Coho,65,71,2.9,Y,N,0
120,5/21/2021,16,,Main_Side,NA,Coho,57,63,2,Y,N,0
121,5/21/2021,17,,Main_Side,NA,Cutthroat,124,130,15.8,N,N,0
122,5/21/2021,18,,Main_Side,NA,Dolly Varden,107,115,9.1,N,N,0
123,5/21/2021,19,,Main_Side,NA,Dolly Varden,79,85,4.5,N,N,0
124,5/21/2021,20,,Main_Side,NA,Dolly Varden,83,89,5.4,N,N,0
